20524469: |Acc X:0.29, Acc Y:-0.18, Acc Z:9.73 |Gyr X:0.04, Gyr Y:-0.01, Gyr Z:-0.02 |Mag X:-0.04, Mag Y:0.46, Mag Z:-0.47 |q0:0.95, q1:0.00, q2:0.01, q3:-0.31 |Roll:0.29, Pitch:0.78, Yaw:-36.58
20524569: |Acc X:0.03, Acc Y:0.06, Acc Z:9.86 |Gyr X:0.05, Gyr Y:-0.02, Gyr Z:-0.03 |Mag X:-0.04, Mag Y:0.47, Mag Z:-0.47 |q0:0.95, q1:0.00, q2:0.01, q3:-0.31 |Roll:0.32, Pitch:0.78, Yaw:-36.60
20524669: |Acc X:-0.32, Acc Y:0.11, Acc Z:10.28 |Gyr X:0.05, Gyr Y:-0.02, Gyr Z:-0.02 |Mag X:-0.04, Mag Y:0.46, Mag Z:-0.47 |q0:0.95, q1:0.00, q2:0.01, q3:-0.31 |Roll:0.35, Pitch:0.77, Yaw:-36.62
20524769: |Acc X:-0.46, Acc Y:0.36, Acc Z:10.15 |Gyr X:0.05, Gyr Y:0.00, Gyr Z:-0.03 |Mag X:-0.03, Mag Y:0.46, Mag Z:-0.47 |q0:0.95, q1:0.01, q2:0.01, q3:-0.31 |Roll:0.37, Pitch:0.77, Yaw:-36.64
20524869: |Acc X:-0.64, Acc Y:0.79, Acc Z:10.17 |Gyr X:0.04, Gyr Y:0.03, Gyr Z:-0.00 |Mag X:-0.03, Mag Y:0.47, Mag Z:-0.48 |q0:0.95, q1:0.01, q2:0.01, q3:-0.31 |Roll:0.40, Pitch:0.78, Yaw:-36.65
20524969: |Acc X:-0.35, Acc Y:1.01, Acc Z:9.42 |Gyr X:0.05, Gyr Y:0.02, Gyr Z:-0.00 |Mag X:-0.04, Mag Y:0.46, Mag Z:-0.47 |q0:0.95, q1:0.01, q2:0.01, q3:-0.31 |Roll:0.43, Pitch:0.80, Yaw:-36.66
20525069: |Acc X:-0.46, Acc Y:0.90, Acc Z:9.47 |Gyr X:0.02, Gyr Y:0.02, Gyr Z:-0.00 |Mag X:-0.04, Mag Y:0.46, Mag Z:-0.47 |q0:0.95, q1:0.01, q2:0.01, q3:-0.31 |Roll:0.45, Pitch:0.81, Yaw:-36.66
20525169: |Acc X:-0.27, Acc Y:0.63, Acc Z:9.16 |Gyr X:0.02, Gyr Y:-0.00, Gyr Z:0.04 |Mag X:-0.03, Mag Y:0.45, Mag Z:-0.47 |q0:0.95, q1:0.01, q2:0.01, q3:-0.31 |Roll:0.46, Pitch:0.81, Yaw:-36.65
20525269: |Acc X:0.05, Acc Y:0.39, Acc Z:9.47 |Gyr X:-0.02, Gyr Y:-0.01, Gyr Z:0.03 |Mag X:-0.03, Mag Y:0.46, Mag Z:-0.47 |q0:0.95, q1:0.01, q2:0.01, q3:-0.31 |Roll:0.45, Pitch:0.81, Yaw:-36.64
20525369: |Acc X:-0.49, Acc Y:0.28, Acc Z:10.55 |Gyr X:-0.02, Gyr Y:-0.01, Gyr Z:0.03 |Mag X:-0.03, Mag Y:0.46, Mag Z:-0.47 |q0:0.95, q1:0.01, q2:0.01, q3:-0.31 |Roll:0.44, Pitch:0.80, Yaw:-36.62
